cas,smile,odors
143-08-8,CCCCCCCCCO,"agrume,aldéhyde,cire d'abeille,épicé,floral,gras,huile,orange,poussière,rose,vert"
143-13-5,CCCCCCCCCOC(C)=O,"cire d'abeille,doux,fruit exotique,fruité,vert"
143-14-6,C/C=C/CCCCCCCC=O,"agrume,cire d'abeille,floral,mandarine"
14309-57-0,CCCCC/C=C/C(C)=O,"baie,boisé,cire d'abeille,épicé,fermentaire,fromage bleu,gras,herbe,huile,réglisse"
14352-61-5,COC(=O)CC1CCCCC1,"ananas,banane,mangue,miel"
14360-50-0,CCCCCC(=O)c1occc1,"abricot,cire d'abeille,doux,fruité,pêche,vert"
14371-10-9,O=C/C=C/c1ccccc1,"bonbon,cannelle,épicé,peinture"
14374-92-6,C/C=C/c1cc(ccc1C)C(C)C,"carotte,doux,terre"
1438-91-1,CSCc1occc1,"ail,légume,moutarde,œuf,oignon,raifort,soufré"
1438-94-4,C(n1cccc1)c2occc2,"café,céréale,champignon,cire d'abeille,fruité,légume,métal,oignon,pain,pomme de terre,radis,vert"
144-39-8,CCC(=O)OC(C)(CCC=C(C)C)C=C,"agrume,bergamote,boisé,floral,fruité,herbe,lys,rhum,rose"
14400-67-0,CC1OC(=CC1=O)C,"caramel,ester"
14436-32-9,OC(=O)CCCCCCCC=C,"cire d'abeille,crème,fromage,fruité,gras,lait frais,savon,vert"
1445-91-6,C[C@H](O)c1ccccc1,"fraise,gardénia"
14481-52-8,CC1=CCC(CC1)C(C)(C)OC(=O)c2ccccc2N,"fleur d'oranger,fruité"
14481-55-1,CCCCC(=O)OC(C)(C)C1CCC(=CC1)C,"doux,floral,fruité,pomme"
145-39-1,Cc1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,"doux,gras,poudré"
1450-72-2,Cc1ccc(O)c(c1)C(C)=O,"floral,herbe"
1450-85-7,S=C1NC=CC=N1,oignon
14507-02-9,CCCCC/C=C/C=C/CO,"agrume,cire d'abeille,dinde cuite,fruité,gras,lactique,melon,pomme,poulet,saindoux"
14542-13-3,COc1sccn1,"caramel,pain"
1455-20-5,CCCCc1sccc1,"floral,friture,lait frais,poulet"
14576-08-0,COC(C)(C)C1CCC(=CC1)C,"bergamote,boisé,épicé,fleur d'oranger,légume,raisin,terre"
14595-54-1,O=C1CCCCCCCCCC\C=C/CC1,animal
14617-92-6,CCCC(=O)Oc1ccc(C)cc1,narcisse
14620-52-1,CCCCCCCCCCCC(OC)OC,"cire d'abeille,coriandre,fleur de troëne,herbe,orchidée,savon,vert"
14667-55-1,Cc1cnc(C)c(C)n1,"cacao,café,chocolat,fruit à coque,grillé,légume,moisi,noisette,pomme de terre,pomme de terre cuite,poudré,terre"
14735-72-9,COC(=O)c1ccccc1N=Cc2ccc(OC)cc2,"aubépine,doux,mimosa,poudré"
14765-30-1,CCC(C)C1CCCCC1=O,"boisé,camphre,frais,menthé,menthe poivrée,menthe verte,menthol"
1487-49-6,COC(=O)CC(C)O,"pomme,vert,vin"
14898-79-4,CC[C@@H](C)O,"fruité,vin"
1490-04-6,CC(C)C1CCC(C)CC1O,"frais,menthé,menthol"
14901-07-6,CC(=O)/C=C/C1=C(C)CCCC1(C)C,"baie,boisé,cire d'abeille,doux,floral,fruité,vert"
149982-46-7,CCC/C=C/COC(=O)CC1CCCC1,"jasmin,poire"
150-60-7,C(SSCc1ccccc1)c2ccccc2,"brûlé,caramel,terre,vert"
150-78-7,COc1ccc(OC)cc1,"anis,anisé,aubépine,fenouil,foin,gras,poudré,vert"
150-84-5,CC(CCOC(C)=O)CCC=C(C)C,"agrume,aldéhyde,boisé,cire d'abeille,citron,floral,fruit exotique,fruité,gras,poire,pomme,poussière,rose,vert"
150-86-7,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(C)=C/CO,"baie,balsamique,cire d'abeille,floral,légume,poudré,vert"
1504-55-8,CC(O)/C=C/c1ccccc1,"balsamique,floral,styrax"
1504-74-1,COc1ccccc1/C=C/C=O,"boisé,cannelle,doux,épicé,huile,médicinal,papier,phénolé,résineux"
1504-75-2,Cc1ccc(\C=C\C=O)cc1,cannelle
1506-02-1,CC1CC(C)(C)c2cc(C(C)=O)c(C)cc2C1(C)C,"ambre gris,fruité,musc,poudré"
151-05-3,CC(=O)OC(C)(C)Cc1ccccc1,"baie,balsamique,épicé,floral,fruité,jasmin,poire,poudré,rose,vert"
151-10-0,COc1cccc(OC)c1,"bière,chimique,doux,épicé,frais,médicinal,noix de muscade"
151-19-9,CCC(C)CCC(C)(O)CC,"baie,boisé,coriandre,doux,floral,herbe,myrtille,rose"
15111-56-5,CCOC(=O)C1CCC=CC1,"floral,fruité,ylang-ylang"
15111-96-3,CC(=C)C1CCC(=CC1)COC(C)=O,"baie,boisé,framboise,violette"
15111-97-4,CC(=O)OCC(=C)C1CCC(=CC1)C,"fruité,menthé"
1516-17-2,C/C=C/C=C/COC(C)=O,"citrouille,frais,herbe,huile,métal,persil,savon,vert"
1517-69-7,CC(O)c1ccccc1,"chèvrefeuille,terre,vert"
15186-51-3,CC(C)=CCc1occc1C,"menthé,vert"
15323-35-0,CC1C(C)(C)c2cc(C)c(cc2C1(C)C)C(C)=O,"ambre gris,fruité,musc,poudré"
1534-08-3,CSC(C)=O,"chou,fromage,fruité,lactique,légume,œuf,soufré"
15352-77-9,CC(CCC=C(C)C)C1(O)CCC(=CC1)C,"agrume,citron,doux,floral,frais,herbe,raisin"
15356-74-8,CC1(C)CCCC2(C)OC(=O)C=C12,"baie,boisé,fruité"
15373-31-6,CC1=CCC(CC#N)C1(C)C,"foin,romarin"
1540-29-0,CCCCC(C(C)=O)C(=O)OCC,vin
154170-44-2,CCCCC(O)C(C)CCC,herbe
15423-57-1,CC(C)=C1CCC(=C/CCC(=C/C1)/C)/C,"épicé,terre"
1551-43-5,CCCCC(=O)OC1CCCCC1,"baie,fruité,herbe"
1551-44-6,CCCC(=O)OC1CCCCC1,"ananas,floral,pomme"
1552-67-6,CCC/C=C/C(=O)OCC,"doux,fruité,vert"
15543-65-4,CCOC(=O)[C@@H]1[C@@H](C=C(C)C)C1(C)C,"chrysanthème,doux,floral,fruité,immortelle,vin"
156-06-9,OC(=O)C(=O)Cc1ccccc1,"amande,doux,herbe,légume,miel,phénolé,vert"
1565-81-7,CCCCCCCC(O)CC,"champignon,gras,moisi,orange"
15679-09-1,CCc1sccn1,fruit à coque
15679-12-6,CCc1scc(C)n1,"cacao,café,caoutchouc,fruit à coque,pistache,soufré,vert"
15679-13-7,CC(C)c1scc(C)n1,"alliacé,café,fruit à coque,fruité,légume,moisi,racine,soufré,terre,vert"
15679-19-3,CCOc1sccn1,"bouillon,brûlé,café,caoutchouc,fruit à coque,légume,moisi,phénolé,vert"
1569-50-2,C/C=C/C(C)O,plastique
1569-60-4,CC(O)CCC=C(C)C,"coriandre,huile,vert"
15706-73-7,CCCCOC(=O)C(C)CC,"cacao,fruité"
15707-23-0,CCc1nccnc1C,"cacahuète,fruit à coque,huile,maïs,moisi,pain,terre"
15707-24-1,CCc1nccnc1CC,"fruit à coque,moisi,noisette,poivron,pomme de terre,radis,terre"
15707-34-3,CCc1cnc(C)c(C)n1,"cacao,pop corn"
15729-76-7,CCc1sc(CC)nc1,fruit à coque
1575-74-2,C[C@@H](CC=C)C([O-])=O,"confiture,crème,fraise,fromage"
1576-78-9,CCC/C=C/CCOC(C)=O,"banane,fruit de la passion,gras,légume"
1576-85-8,CC(=O)OCCCC=C,"acrylate,cuit,doux,foin,herbe,légume,métal,plastique,soufré,vert"
1576-87-0,CC/C=C/C=O,"cire d'abeille,fruité,orange,pomme,tomate,vert"
1576-95-0,CC\C=C/CO,"caoutchouc,éther,fruité,moutarde,plastique,raifort,vert"
15760-18-6,CC(CCO)C1CCC(=CC1)C,"agrume,doux,herbe,rose"
15764-16-6,Cc1ccc(C=O)c(C)c1,"amande,cerise,chimique,doux,épicé,naphtaline,poudré,vanille"
1577-18-0,CC/C=C/CC(O)=O,"cire d'abeille,fromage,fruité,lactique,légume,melon,miel,vert"
1577-19-1,CCCC/C=C/CC(O)=O,gras
1587-20-8,COC(=O)CC(O)(CC(=O)OC)C(=O)OC,fruité
15986-80-8,CCCc1nccnc1C,"fruit à coque,terre,vert"
15987-00-5,CCCCc1nccnc1C,"anis,réglisse"
1599-47-9,CCCCCC(OC)OC,"doux,moisi"
1599-49-1,CCCCCC1OCC(C)O1,"ananas,cire d'abeille,doux,fruité,légume,produit pétrolier,réglisse,vert"
1604-28-0,CC(C)=C/C=C/C(C)=O,"boisé,doux,épicé,frais,herbe,noix de coco,vert"
1604-34-8,CC(C)CCCC(C)CCCC(C)=O,"citronelle,savon"
1608-72-6,CCOC(C)OC(C)=O,"acétique,ester,fruité,myrtille"
16128-68-0,CCC(S)CS,viande cuite
1617-23-8,CCOC(=O)C(C)\C=C\C,"ananas,baie,cerise,doux,frais,fruité,melon,vert"
1617-40-9,CCOC(=O)C(/C)=C/CC,"baie,fruité,rhum"
1618-26-4,CSCSC,"ail,alliacé,champignon,chou,épicé,frais,légume,métal,moutarde,oignon,raifort,soufré,vert"
16251-77-7,CC(CC=O)c1ccccc1,"herbe,jacinthe"
1629-58-9,CCC(=O)C=C,"ail,éther,moutarde,oignon,poisson,poivre"
1632-73-1,CC1(C)[C@@H]2CC[C@@](C)(C2)[C@@H]1O,"boisé,camphre,citron,doux,frais,humus,médicinal,menthé,pin,racine,terre"
16356-11-9,CCCCC/C=C/C=C/C=C,"agrume,cire d'abeille,concombre,frais,friture,galbanum,graisse animale,gras,légume,melon,poivron,poulet,résineux,vert"
1639-09-4,CCCCCCCS,oignon
16400-72-9,CCCCCCCC1CC=CC(=O)O1,"crème,gras"
16409-43-1,CC1CCOC(C1)C=C(C)C,"agrume,camphre,épicé,floral,frais,géranium,herbe,légume,rose,vert"
16409-45-3,CC(C)C1CCC(C)CC1OC(C)=O,"baie,frais,fruité,menthé"
16409-46-4,CCC(C)C(=O)OC1CC(C)CCC1C(C)C,"boisé,doux,frais,fruité"
16429-21-3,CCCCCCC1CCCCC(=O)O1,"fruité,pêche"
1646-26-0,CC(=O)c1oc2ccccc2c1,"amande amère,chèvrefeuille,coumarine,fleur d'oranger,floral,fruit à coque,miel"
16491-24-0,C/C=C/C=C\COC(=O)C(C)C,"ananas,fruité,galbanum,poire,pomme"
16491-25-1,CCC(=O)OC\C=C/C=C/C,"ananas,fruité,vin"
16491-36-4,CCCC(=O)OCC\C=C/CC,"beurre,cire d'abeille,frais,fruité,huile,légume,métal,poire,pomme,pomme verte,raisin,vert,vin"
16491-54-6,CCCCCC(OC(=O)CCC)C=C,"beurre,champignon"
16493-80-4,CCCC[C@@H](CC)CCC([O-])=O,"agneau,chèvre,gras,mouton"
1653-30-1,CCCCCCCCCC(C)O,"cire d'abeille,frais,fruit à coque,gras,huile,poisson,salsepareille,suif"
16587-71-6,CCC(C)(C)C1CCC(=O)CC1,"camphre,terre"
16630-52-7,CSC(C)CC=O,"buchu,chips,chou,légume,musc,poisson,soufré,tomate,vert"
16630-55-0,CSCCCOC(C)=O,"asperge,champignon,chou,fromage,pomme de terre"
16630-60-7,CCCC(=O)OCCCSC,"ananas,champignon,fromage,fruité"
16630-61-8,CCOC(CCSC)OCC,"ail,champignon,doux,oignon,tomate,vert"
16630-66-3,COC(=O)CSC,"cuit,fruit à coque,fruité,pomme de terre cuite"
166432-52-6,CCCCCC#C\C=C\C=C,"floral,fruité,graisse animale,poulailler,violette"
1669-44-9,CCCC/C=C/C(C)=O,"champignon,crème,doux,épicé,foin,herbe,huile,insecte écrasé,myrtille,terre"
1670-47-9,CCOC1(CCCCC1)OCC,"boisé,rhum,tabac"
1679-07-8,SC1CCCC1,"ail,alliacé,brûlé,légume,œuf,oignon,raifort"
16930-93-1,CCCC(=O)OC\C=C\C=C\C,"fromage,fruité,lactique,vert,vin"
16930-96-4,CCCCCCOC(=O)C(/C)=C/C,"capucine,crème,fruité,herbe,huile,plastique,vert"
16939-73-4,CCCC/C=C/COC(C)=O,"ananas,cire d'abeille,kiwi"
16957-70-3,CC\C=C(/C)C(O)=O,"boisé,fraise"
1703-52-2,CCc1oc(C)cc1,"brûlé,gaz"
1706-12-3,Cc1ccc(Oc2ccccc2)cc1,"floral,mûre,rose"
1708-34-5,CCCCCCC1OCCO1,"gras,huile,narcisse,plastique,vert"
1708-35-6,CCCCCCC1OCC(CO)O1,doux
1708-81-2,CCC\C=C/CCO,"cire d'abeille,gras,herbe,huile,vert"
1708-82-3,CC/C=C/CCOC(C)=O,"banane,fruité,pomme"
17102-64-6,C/C=C/C=C/CO,"herbe,vert"
1725-01-5,O=C1CCCCCCCCOCCCCCCO1,"animal,floral,fruité,huile,musc"
1727-68-0,CC(=O)OCCC1CC=C(C)C1(C)C,"boisé,floral,violette"
1728-46-7,CC(C)(C)C1CCCCC1=O,camphre
17283-81-7,CC(=O)CCC1=C(C)CCCC1(C)C,"acajou,ambre gris,baie,boisé,cèdre,épicé,floral,framboise,huile,thé"
1731-81-3,CCCCCCCCCCCOC(C)=O,cire d'abeille
1731-84-6,CCCCCCCCC(=O)OC,"cire d'abeille,doux,fruité,poire,vert,vin"
1731-86-8,CCCCCCCCCCC(=O)OC,"cire d'abeille,fruité"
1733-25-1,CC(C)OC(=O)C=C(C)C,"épicé,frais,légume,menthé,vert"
17369-59-4,CC/C=C/1OC(=O)c2ccccc12,"doux,fenugrec,herbe,légume,livèche,sirop d'érable,vert"
17369-60-7,CCC1(C)CC(=O)C(=C(C)C1C)C,"épicé,fruité"
17369-61-8,CCC1(C)C(C)C(=CC(=O)C1C)C,"caramel,crème,épicé,fruité"
17488-65-2,CC(O)/C=C/c1ccccc1,"balsamique,cire d'abeille,doux,floral,fruité,raisin"
17511-60-3,CCC(=O)OC1CC2CC1C3CC=CC23,"basilic,boisé,herbe,huile,jasmin"
1754-62-7,COC(=O)\C=C\c1ccccc1,"balsamique,cerise,fraise"
17587-33-6,CC/C=C/CC\C=C\C=O,"agrume,concombre,frais,gras,légume,melon,pastèque,vert"
1759-28-0,Cc1ncsc1C=C,"bière,cacao,fruit à coque,légume,moisi,poudré,racine,terre"
17597-95-4,CCCCCCOCC(OC)OC,"doux,floral,fruité,vert"
17619-36-2,CCCSSSC,"ail,cive,cuit,frais,fromage,métal,oignon,soufré,vert"
17626-75-4,CCCc1sccn1,herbe
17627-44-0,CC(C)=CC\C=C(/C)C1CCC(=CC1)C,"épicé,floral"
17699-14-8,CC(C)[C@@H]1CC[C@@H](C)[C@@]23CC=C(C)[C@@H]2[C@@H]13,cire d'abeille
17699-16-0,CC(C)C12CCC(C)(O)C1C2,balsamique
1775-43-5,CC\C=C/CC(O)=O,"fromage,fruité,herbe,sueur"
1786-08-9,CC(C)=CC1CC(=CCO1)C,"cire d'abeille,floral,herbe,légume,menthé,narcisse,vert"
17909-77-2,CC(/CC\C=C(/C)C=O)=C\C\C=C(/C)C=C,"mandarine,orange"
1797-74-6,C=CCOC(=O)Cc1ccccc1,"fruité,miel,rhum"
18031-40-8,CC(=C)C1CCC(=CC1)C=O,"aldéhyde,boisé,cerise,cire d'abeille,citron vert,doux,épicé,gras,herbe,huile,menthé,orange,vert"
18060-79-2,C=CCCCN=C=S,raifort
18096-62-3,C1OCC2Cc3ccccc3C2O1,"fécal,jasmin,terre"
18114-49-3,CC(=O)C1(C)CC2(O)OC(C)(OC2(C)O1)C(C)=O,"beurre,caramel,caramel au beurre,crème,doux,frais,fromage,gras,huile,vanille"
18127-01-0,CC(C)(C)c1ccc(CCC=O)cc1,"cyclamen,doux,floral"
18138-03-9,CCCc1cnccn1,"brûlé,fruit à coque,légume,vert"
18138-04-0,CCc1ncc(C)nc1CC,"cacao,fruit à coque,grillé,légume,moisi,noisette torréfiée,pomme de terre,terre,vert"
18138-05-1,CCc1cnc(C)c(CC)n1,"fruit à coque,légume,vert"
18172-67-3,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,"foin,frais,pin,résineux,vert"
18189-02-1,CC(C)OC(=O)c1ccccc1N,"floral,miel"
18189-07-6,CCCCCCCCCCOC(=O)c1ccccc1N,raisin
18277-27-5,CCC(C)c1sccn1,"épicé,feuille de tomate,herbe,vert"
18318-83-7,CCC/C=C/C(OC)OC,pomme
18358-53-7,CC1C2CC(CC2(C)C)C1=O,camphre
18362-97-5,CCCCC(=O)OC(C)C,ananas
18368-91-7,CCC1(O)C(C)(C)C2CCC1(C)C2,"camphre,humus,menthé,moisi,patchouli,pomme de terre,racine,sapin,terre,thé"
18368-95-1,CC(=C)C1=CC=C(C)CC1,"agrume,boisé,camphre,chimique,frais,herbe,huile,pin,thym"
1838-88-6,CC/C=C(C)/COC(C)=O,"banane,fruité,melon"
18383-49-8,CC(=C)[C@@H]1C[C@H]2O[C@@]2(C)C(=O)C1,"carvi,carvone,épicé,menthé,menthe verte,poivre"
18409-17-1,CCCCC\C=C\CO,"agrume,doux,fruité,gras,huile,légume,plastique"
18409-18-2,CCCCCCC\C=C\CO,"agrume,ozone,rose"
18409-20-6,CCC/C=C/C=C/CO,"bouillon,cire d'abeille,concombre,crème,graisse de poulet,gras,huile,melon,poulet"
18409-21-7,CCCCC/C=C/C=C/CO,"agrume,cire d'abeille,fruité,lactique,melon"
18433-93-7,CC(C)CC1OCC(C)O1,"beurre,éther,fruité,lactique,rhum"
18433-97-1,CCCc1nc(C)cnc1C,"fruit à coque,noisette"
18436-37-8,CCCCCCC1CCOC1=O,"doux,fruité,herbe,noix de coco,vert"
18479-49-7,CC(C)CCCC(C)(O)C=C,"agrume,camphre"
18479-51-1,CCC(C)(O)CCC=C(C)C,"agrume,baie,boisé,floral,fruité,herbe,myrtille"
18479-54-4,CCC(C)(O)\C=C\C=C(C)C,"agrume,floral,frais,lys"
18479-57-7,CCC(C)CCCC(C)(C)O,"agrume,citron vert,doux,floral,lys"
18479-58-8,CC(CCCC(C)(C)O)C=C,"agrume,aldéhyde,citron vert,eau de cologne,floral,herbe,marin,savon,vert"
18479-68-0,CC(CO)C1CCC(=CC1)C,herbe
18485-38-6,CCCCCCC\C=C\C=C\CO,"fruité,vert"
18492-65-4,CCOC(CC\C=C/CC)OCC,"cire d'abeille,concombre,crème,fraise,fruité,gras,herbe,huile,lactique,légume,poisson,pomme,vert"
18607-93-7,COc1cc2OCOc2cc1CC=C,poivre
1862-61-9,COC(=O)\C=C(C)/CCC=C(C)C,"agrume,fruité,géranium,herbe,vert"
18640-74-9,CC(C)Cc1sccn1,"cire d'abeille,feuille de tomate,fleur de troëne,légume,métal,moisi,terre,tomate,vert,wasabi"
1866-31-5,C=CCOC(=O)\C=C\c1ccccc1,"abricot,ananas,balsamique,épicé,fruité,herbe,pêche,prune"
18679-18-0,CCCCC\C=C/CC1CCC(=O)O1,"cire d'abeille,crème,doux,fruité,gras,lactique"
1871-67-6,CCCCC/C=C/C([O-])=O,"aldéhyde,cire d'abeille,foin,fromage,gras,herbe,légume,vert"
18721-61-4,CCSCCCO,"légume,pomme de terre"
1875-89-4,Cc1cccc(CCO)c1,"boisé,jasmin,lilas,muguet,rose"
1878-18-8,CCC(C)CS,sang
18794-77-9,CCCCCCc1sccc1,"fruité,gaz,vert"
18794-84-8,CC(C)=CCC\C(C)=C\CCC(=C)C=C,"agrume,doux"
18824-63-0,CCCCCCCCC(OC)OC,"agrume,capucine,cire d'abeille,coriandre,feuille de tomate,floral,plastique,vert"
18829-55-5,CCCC\C=C\C=O,"amande,doux,frais,fruité,graisse,gras,huile,légume,pomme,vert"
18829-56-6,CCCCCC\C=C\C=O,"agrume,aldéhyde,concombre,graisse,gras,melon,savon,vert"
1883-78-9,CC(C)SCc1occc1,"ail,floral,oignon"
18836-52-7,CCCCC/C=C/C=C/C(=O)NCC(C)C,herbe
188417-26-7,CCOc1cc(C=O)ccc1O.CC(C)C([O-])=O,"balsamique,caramel,chocolat,crème,doux,lait frais,poudré,rhum,vanille"
1885-38-7,N#C/C=C/c1ccccc1,"cumin,épicé"
18871-14-2,CCCCCC1COCCC1OC(C)=O,"champignon,herbe,huile,jasmin,thé,vert"
1888-90-0,C=C1CCCC=C1,"citron,citron vert,soufré,truffe"
18999-28-5,CCCC/C=C/C(O)=O,"éther,fruité,herbe"
19009-56-4,CCCCCCCCC(C)C=O,"agrume,aldéhyde,cire d'abeille,encens,gras,herbe,savon,zesté"
1901-26-4,CC(=O)C(\C)=C/c1ccccc1,"baie,camphre"
1901-38-8,CC1=CCC(CCO)C1(C)C,"baie,camphre"
19089-92-0,CCCCCCOC(=O)\C=C/C,"ananas,caramel,champignon,doux,fruité,huile,légume,noix,poire,pomme,pomme de terre,radis,vert"
19139-31-2,CCCCCCOC(=O)\C=C/C(=O)OCCCCCC,"floral,herbe,magnolia,plastique,vert"
19141-40-3,C[C@@H](CO)c1ccccc1,"aubépine,fruité,jacinthe,pivoine"
19224-26-1,CC(COC(=O)c1ccccc1)OC(=O)c2ccccc2,"alcool,algue,balsamique,capucine,chimique,coquillage,métal,phénolé,poudré"
19322-27-1,CC1=C(O)C(=O)CO1,"barbe à papa,café,caramel,fenugrec,pain,sirop d'érable,sucre brûlé"
19329-89-6,CC(C)CCOC(=O)C(C)O,"crème,fruit à coque"
19342-01-9,C[C@@H]([NH+](C)C)c1ccccc1,poisson
19407-28-4,CC(C)c1ccc2c(CCC3C(C)(C)CCCC23C)c1,"épicé,herbe"
19431-84-6,CC1CCC2C(=CC3(O)OC12CC3=C(C)C)C,gras
19435-97-3,CC(C)[C@@H]1CC[C@@](C)(O)[C@H]2CCC(=C[C@@H]12)C,miel
19487-61-7,CCCCCCC/C=C/COC(C)=O,gras
1963-36-6,COc1ccc(\C=C\C=O)cc1,"bonbon,cannelle,cerise,doux,épicé,floral,fumée,vanille"
1968-40-7,CCOC(=O)CCC=C,"caramel,fruité,herbe"
19700-21-1,C[C@H]1CCC[C@@]2(C)CCCC[C@]12O,"humus,moisi,terre"
1975-78-6,CCCCCCCCCC#N,"cire d'abeille,cognac,gras,huile,moisi"
19788-49-9,CCOC(=O)C(C)S,"ail,cuit,oignon"
19819-98-8,Cc1ccccc1CCO,"cire d'abeille,mimosa,pivoine,rose"
19870-74-7,CO[C@@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,"ambre gris,cèdre"
19872-52-7,CC(=O)CC(C)(C)S,"bourgeon de cassis,fruité,vert"
19894-97-4,CC1(C)[C@H]2CC=C(CO)[C@@H]1C2,"balsamique,boisé,camphre,médicinal,menthé,pin,sapin"
19912-62-0,CC(C)[C@@H]1CC[C@](C)(O)[C@H]2CCC(=C[C@@H]12)C,"épicé,miel"
20053-88-7,CC(/CC(C)(O)C=C)=C\C=C,"boisé,épicé,fenouil,floral,frais,gingembre"
20073-13-6,CC\C=C/C[C@@H]1[C@H](CCC1=O)CC(=O)OC,jasmin
2009-74-7,CC(C)C/C=C/C(C)=O,"herbe,vert"
20125-81-9,CCCCC(O)\C=C\C,baie
20125-84-2,CCCC/C=C/CCO,"fruité,gras,melon,moisi,pomme de terre,terre,vert"
20175-19-3,CCCCCCC\C(C=O)=C/c1ccccc1,fruité
20184-89-8,CCCCCC#CCC,marin
2021-28-5,CCOC(=O)CCc1ccccc1,"fruité,miel,rhum,rose"
20279-51-0,CCCCCCOC(=O)C(C)O,"doux,floral,fruité,poire,vert"
20286-45-7,CCCCCC(CC)OC(=O)CCC,"agrume,herbe,moisi,vert"
20298-72-0,CC(=O)OC1CCCC(C1)C(C)(C)C,"camphre,floral,frais"
20307-83-9,CC(CCC=C(C)C)C1CCC(=C)C=C1,"boisé,fruité"
20307-84-0,CC(C)C1=CC(C(C)=C)C(C)(CC1)C=C,"boisé,herbe,lavande"
20333-39-5,CCSSC,"oignon,soufré,truffe"
20347-65-3,CC(=O)O[C@H]1CC2CCC1(C)C2(C)C,"camphre,herbe"
2035-99-6,CCCCCCCC(=O)OCCC(C)C,"ananas,cire d'abeille,cognac,doux,fruité,gras,huile,noix de coco,savon,vert"
2040-10-0,CC(=O)c1c(C)cc(cc1C)C(C)(C)C,"fleur d'oranger,musc,rose"
20407-84-5,CCCCCCCCC\C=C\C=O,"aldéhyde,cire d'abeille,coriandre,doux,graisse,gras,herbe,mandarine,métal,orange,orange amère,zesté"
20425-54-1,CC(CCOC(C)=O)CCC=C(C)C,"aldéhyde,citron vert"
2044-73-7,SCc1ccccn1,"caramel,céréale,fruit à coque,gras,pop corn,porc cuit,soufré,viande cuite"
2046-17-5,COC(=O)CCCc1ccccc1,"doux,floral,fruit sec,fruité,miel"
2049-96-9,CCCCCOC(=O)c1ccccc1,"ambre gris,balsamique,moisi,vert"
2050-01-3,CC(C)CCOC(=O)C(C)C,"abricot,ananas,baie,banane,cire d'abeille,doux,ester,fruité,gras,vert"
2050-08-0,CCCCCOC(=O)c1ccccc1O,"chocolat,doux,floral,trèfle,vert"
2050-09-1,CCCCC(=O)OCCC(C)C,"fraise,pomme,vert"
2050-87-5,C=CCSSSCC=C,"métal,oignon,soufré"
2051-78-7,CCCC(=O)OCC=C,"ananas,cire d'abeille,doux,fermentaire,fruité,vert"
2051-96-9,CC(O)C(=O)OCc1ccccc1,"beurre,fruité,gras"
2052-14-4,CCCCOC(=O)c1ccccc1O,"floral,herbe,orchidée"
2052-15-5,CCCCOC(=O)CCC(C)=O,"caramel,cire d'abeille,herbe"
20582-85-8,CSCCCCO,"ail,légume,pomme de terre,soufré,vert"
20662-84-4,Cc1oc(C)c(C)n1,"brûlé,champignon,coquillage,fruit à coque,huile,légume,moutarde,noisette,pomme de terre,terre,wasabi"
20664-46-4,CCCCC\C=C/C=O,"fruité,noix,vert"
20691-52-5,CC(C)(C)C1CCC(CC1)C=O,boisé
20770-40-5,CC(CCOC(=O)C=C(C)C)CCC=C(C)C,géranium
20777-49-5,CC1CCC(CC1OC(C)=O)C(C)=C,"camphre,cumin,doux,floral,frais,fruité,légume,médical,menthé,pin,rose,vert"
20780-48-7,CCC(C)(CCCC(C)C)OC(C)=O,"agrume,bergamote,boisé,eau de cologne,floral,herbe"
20780-49-8,CC(C)CCCC(C)CCOC(C)=O,"cire d'abeille,doux,fruité,miel,rose"
20815-27-4,CCCCCCCc1ccccn1,"floral,géranium,terre"
20834-59-7,Cc1ccc(CC(C)(C)O)cc1,"cumin,muguet,vert"
2084-18-6,CC(C)C(C)S,"brûlé,café,caoutchouc,cuit,friture,fromage,gras,oignon,porc cuit,poulet,soufré"
2092-49-1,COc1cc(C=O)cc(c1O)c2cc(C=O)cc(OC)c2O,"beurre,crème,doux,gras,lait frais,vanille"
20920-83-6,CCOCc1ccccc1O,"castoréum,fumée,vanille"
2094-69-1,CC(C)(C)C(=O)OCc1ccccc1,"camomille,herbe"
21063-71-8,CCC/C=C/CCC(=O)OC,ananas
2109-22-0,CC(C=O)C1CCCCC1,"poussière,vert"
2110-18-1,C(Cc1ccccc1)Cc2ccccn2,"capucine,épicé,frais,herbe,légume,métal,poivre,poivron,terre,vert"
2111-75-3,CC(=C)C1CCC(=CC1)C=O,"agrume,aldéhyde,boisé,cannelle,cire d'abeille,citron vert,clou de girofle,cumin,doux,épicé,herbe,menthé,orange,vert"
21112-37-8,COc1ccc(OC)c(c1)C(C)(C)C,forêt
21129-27-1,CC(C)C1CCC(C)(O)CC1,"boisé,citron vert,herbe,pin,terre"
21145-77-7,CC1CC(C)(C)c2cc(C(C)=O)c(C)cc2C1(C)C,"ambre gris,fruité,musc,poudré"
21188-61-4,CCCC(CC(=O)OCC)OC(C)=O,vert
2120-70-9,O=CCOc1ccccc1,"cuir,floral,fruit à coque,jacinthe,ozone,vert"
21280-29-5,CC1(C)CCCC23CCC(C)(CC12)C(=O)O3,ambre gris
