cas,smile,odors
10236-16-5,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\COC(C)=O,"balsamique,fruité"
10250-45-0,CC(C)CC(CC(C)C)OC(C)=O,"banane,floral,lilas,rhubarbe"
10276-85-4,CCCCCCCC(=O)OCc1ccccc1,"ananas,fruité,gras,pêche"
103-05-9,CC(C)(O)CCc1ccccc1,"baie,floral,frais,fruité,huile,lys,magnolia,rose,vert,violette"
103-07-1,CC(=O)OC(C)(C)CCc1ccccc1,"balsamique,doux,narcisse,vert"
103-09-3,CCCCC(CC)COC(C)=O,"herbe,humus"
103-13-9,COc1ccc(\C=C/C(=O)C(C)C)cc1,"beurre,fruité"
103-25-3,COC(=O)CCc1ccccc1,"balsamique,floral,fruité,vin"
103-26-4,COC(=O)\C=C\c1ccccc1,"balsamique,cerise,épicé,fraise,fruité,mangue,papaye"
103-28-6,CC(C)C(=O)OCc1ccccc1,"baie,boisé,doux,fruité,huile,poudré,rose"
103-36-6,CCOC(=O)\C=C\c1ccccc1,"baie,balsamique,cannelle,doux,épicé,fruité,poudré,prune,vert"
103-37-7,CCCC(=O)OCc1ccccc1,"abricot,ananas,cire d'abeille,doux,frais,fruité,jasmin,poire,pomme,prune"
103-38-8,CC(C)CC(=O)OCc1ccccc1,"ananas,balsamique,doux,fruit sec,fruité,herbe,moisi,pomme,poudré"
103-41-3,O=C(OCc1ccccc1)/C=C/c2ccccc2,"balsamique,cerise,doux,épicé,floral,fruité,poudré"
103-45-7,CC(=O)OCCc1ccccc1,"balsamique,cacao,doux,floral,fruité,levure,miel,rose,tabac,vert"
103-48-0,CC(C)C(=O)OCCc1ccccc1,"aldéhyde,balsamique,cire d'abeille,floral,fruité,levure,miel,pâtisserie,pêche,rose,thé"
103-50-4,C(OCc1ccccc1)c2ccccc2,"cerise,champignon,fruité,plastique,rose,terre"
103-52-6,CCCC(=O)OCCc1ccccc1,"doux,floral,fraise,fruité,levure,moisi,vert,vin"
103-53-7,O=C(OCCc1ccccc1)/C=C/c2ccccc2,"ambre gris,balsamique,floral,mimosa,mousse,rose"
103-54-8,CC(=O)OC\C=C\c1ccccc1,"balsamique,cannelle,doux,épicé,ester,floral,miel,poudré,rose"
103-56-0,CCC(=O)OC/C=C/c1ccccc1,"balsamique,cerise,cire d'abeille,doux,épicé,floral,fruité,raisin,vert"
103-58-2,CC(C)C(=O)OCCCc1ccccc1,"balsamique,confiture,doux,fermentaire,figue,fruité,miel,mûre,myrtille,raisin"
103-59-3,CC(C)C(=O)OC\C=C\c1ccccc1,"amande,ananas,cire d'abeille,doux,épicé,floral,fruité"
103-60-6,CC(C)C(=O)OCCOc1ccccc1,"cire d'abeille,doux,floral,fruité,miel,pomme,poudré,rose,vert"
103-61-7,CCCC(=O)OC/C=C/c1ccccc1,"balsamique,cognac,épicé,vin"
103-64-0,Br\C=C\c1ccccc1,jacinthe
103-82-2,OC(=O)Cc1ccccc1,"animal,chèvrefeuille,chocolat,cire d'abeille,civette,doux,floral,miel,poudré,rose,tabac"
103-93-5,CC(C)C(=O)Oc1ccc(C)cc1,"floral,fruité,lys,narcisse,phénolé,vert"
103-95-7,CC(C)c1ccc(cc1)C(C)CC=O,"cyclamen,frais,huile,moisi,phénolé,rhubarbe,vert"
10321-71-8,CC(C)\C=C\C([O-])=O,"fruité,mûre,thé"
10339-55-6,CC/C(C)=C/CCC(C)(O)C=C,"bergamote,herbe,lavande,vert"
10340-23-5,CCCCC\C=C/CCO,"champignon,cire d'abeille,coriandre,épicé,graisse animale,gras,melon,vert"
10348-47-7,CCOC(=O)C(O)CC(C)C,mûre
10361-39-4,CCCCC(=O)OCc1ccccc1,"floral,pomme"
103694-68-4,Cc1cccc(CC(C)(C)CO)c1,"muguet,vert"
104-09-6,Cc1ccc(CC=O)cc1,"cerise,doux,épicé,fruit à coque,fruité,lilas,narcisse,phénolé,vert"
104-20-1,COc1ccc(CCC(C)=O)cc1,"baie,boisé,cerise,doux,épicé,fleur d'acacia,floral,framboise,fruité,miel,poudré,rose,vanille,violette"
